"id","created","content","moderation_status","parent_id","has_child","like","dislike","recommended","has_rating","rating_average","rating_content","has_more_children","reply_count","message_status","message_type","idt_group_user","cod_profile","cod_profile_hash","nick","user_status","avatar","social_user","social_network","unique_user_id","user_signature","user_register","user_total_messages","user_total_pins","user_total_bookmarks","user_total_likes","profile_nick","profile_url","media_content","subject_id","subject_url","subject_title","subject_views","subject_total","subject_like","subject_start","subject_owner_name","subject_owner_id","subject_owner_cod_profile","subject_owner_userSource","replies","sc"
"25391680","20131031175449","E cada um! Mas se você acredita na sorte, podemos dar uma força com nossos aplicativos que procuram encontra padrões, tendências e equações para gerar possibilidades próximas dos acertos.","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,NA,NA,"KupSoft Tend&ecirc;ncia","1","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/1119367_100002082973397_108897450_q.jpg","100002082973397","FACEBOOK","100002082973397@FACEBOOK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23575596","20131019213227","O povo brasileiro reclama dos políticos que roubam e são desonestos e acabam fazendo a mesma coisa tentando adquirir algo que não é seu, dando um jeitinho brasileiro de tirar vantagem em tudo.
Acorda Brasil !! Sejam mais decentes e honestos, pra que possam cobrar dos políticos corruptos.
","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"jg6uqy7hk6l3","2560007013012941655","SHI CONDUTTA","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","2560007013012941655","UOLK","2560007013012941655@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23552983","20131018003151","Mas é só neste país ridículo mesmo...um cara ganha,mas é idiota e não vai buscar;e então abre-se espaço pra toda a horda de vigaristas...","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"1s55bfx4i9fi","234516942157404222","mero opositor","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","234516942157404222","UOLK","234516942157404222@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23552653","20131017235413","Ganhar 23milhões e deixar pra lá! aÍ tem os nove dedos. Logo depois da venda da Telecon. Muito sinistro.","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"5k40c149cd78","731638870643578580","pingunceiro","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","731638870643578580","UOLK","731638870643578580@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23551697","20131017223828","Rapaz eu nem lembro de joguei, será que ganhei? Ha passou o prazo já elvez.... Se toda semana praticamente se faz um milionário no Brasil aonde estão eles???? Essa mega sena não me cheira bem a muito tempoooo...","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"uptare1aehh5","4043030672497368569","LUH LK","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","4043030672497368569","UOLK","4043030672497368569@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23550180","20131017211226","Tentar se passar pelo sortudo que não foi à procura do prêmio que lhe é de direito é simplesmente má-fé e gente desse tipo, seja quem for, merece prisão, não pelo ato em si, mas por ser burro. Não adianta tentar ludibriar porque para resgatar o valor do prêmio terá de apresentar o volante com as marcações correspondentes ao sorteado e com a devida autenticação. E o pior é quem sabe disso. Burrice mata.
","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"twc0pgw0tptt","3935247196856707073","Copacarioca","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","3935247196856707073","UOLK","3935247196856707073@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23548708","20131017195702","São apostadores ou bandidos? O pessoal da UOL confunde bandido por político, quadrilha por partido político, bandido por torcedor de futebol, bandido por religioso. É preciso estudar um pouco pessoal!","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"cb4zha6tz55v","1620184521993091555","cal&ccedil;abotas","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","1620184521993091555","UOLK","1620184521993091555@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23547789","20131017185913","bandida cm.
O Haddad foi secretário da prefeitura de S.P., na época da MARTACHA.....","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"ocpd8587caho","3205371105133958940","L. PAPA","1","http://forum.imguol.com/avatars/gallery/noticias/Basquete 01/1108.gif","3205371105133958940","UOLK","3205371105133958940@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23547373","20131017182744","Já que tudo gira conjecturas..ai vai mais uma...E SE DE FATO, NÃO HOUVE GANHADOR ?","APPROVED","0","TRUE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,NA,NA,"Sergio Roberto","1","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/260843_100003106215380_1180760193_q.jpg","100003106215380","FACEBOOK","100003106215380@FACEBOOK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23546380","20131017172102","Uma pena, não lembro aonde guarde meu jogo. Fazer o quê perdi o prazo. Vou continuar pobre...
","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"edauje84e0gc","1891335666261638604","jujumeng&atilde;o","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","1891335666261638604","UOLK","1891335666261638604@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23546223","20131017171101","Está todo mundo acreditando nessa lorota da caixa! É só mais um golpe moçada, acorda gente!","APPROVED","0","FALSE","1","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"toyedpg5jnv7","3908270822183154835","Wborto","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","3908270822183154835","UOLK","3908270822183154835@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23545997","20131017165734","Brasil, meu Brasil brasileiro...","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"7fl2glezt1x7","978334005252389371","Eu tenho a for&ccedil;a","1","http://forum.imguol.com/avatars/gallery/noticias/Desenhos 02/desenhos0071.jpg","978334005252389371","UOLK","978334005252389371@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23545944","20131017165352","Gente duplamente idiota ; não imaginam os problemas que aparecem , para aqueles que ganham grandes fortunas . Não sabem que serão alvo preferencial de ladrões , sequestradores e até de gerentes de banco ambiciosos .........","APPROVED","0","TRUE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"q9g28funryc1","3456700988804990353","C&eacute;sar Augusto Figueiredo","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","3456700988804990353","UOLK","3456700988804990353@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23545817","20131017164400","Tentativas em vão desse povo inocente de tirar o prêmio! Mal sabem eles que essa grana da mega-sena, já tinha ganhador, alguém do esquema com certeza!! Premios grandes sempre saem para cidades desconhecidas e coisas do tipo! ","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,NA,NA,"Felipe Santos Sena","1","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-frc1/372212_100004829645322_1131904194_q.jpg","100004829645322","FACEBOOK","100004829645322@FACEBOOK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23545769","20131017163929","Por essas e muitas outras (e bota muitas nisso) que não apoio ""manifestação"" dos desocupados e jamais apoiarei. Todos hipócritas.","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"1de83c9cg6tg","180596433614689924","Voltei hahaha","1","http://forum.imguol.com/avatars/gallery/noticias/Jogos PC 03/pc114.jpg","180596433614689924","UOLK","180596433614689924@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23545636","20131017162833","porque não coloque o CPF dos apostadores, e a caixa encaminha para os correntista da CAIXA automaticamente, e aos não correntistas ela avisa por CORRESPONDÊNCIA, CONFORME DADOS NA RECEITA FEDERAL, tudo bem Q A CAIXA QUEBROU O SIGILO BANCARIO DO FRANCENILDO, PARA FAVORECER O ZÉ DIRCEU, MAIS PREFIRO CORRER O RISCO, MAIS COM O DINHEIRO EM MINHA CONTA CORRENTE.","APPROVED","0","FALSE","2","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,NA,NA,"Anizio Ribeiro Dos Santos","1","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash4/211624_1646700438_1219703389_q.jpg","1646700438","FACEBOOK","1646700438@FACEBOOK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
"23544921","20131017153742","Esta é conversa pra fri-povo dormir; só para tirar do foco qualquer duvida em questão dos ""SUPOSTOS"" ganhadores, né não Povão?","APPROVED","0","FALSE","1","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"lwj2rf2upesy","2882990280822811954","said soriedem","1","http://forum.imguol.com/avatars/gallery/noticias/Basquete 01/1106.gif","2882990280822811954","UOLK","2882990280822811954@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6872488",NA,NA,"0","0","0","20131017060007",NA,NA,NA,NA,NA,"200"
