"id","created","content","moderation_status","parent_id","has_child","like","dislike","recommended","has_rating","rating_average","rating_content","has_more_children","reply_count","message_status","message_type","idt_group_user","cod_profile","cod_profile_hash","nick","user_status","avatar","social_user","social_network","unique_user_id","user_signature","user_register","user_total_messages","user_total_pins","user_total_bookmarks","user_total_likes","profile_nick","profile_url","media_content","subject_id","subject_url","subject_title","subject_views","subject_total","subject_like","subject_start","subject_owner_name","subject_owner_id","subject_owner_cod_profile","subject_owner_userSource","replies","sc"
"21410169","20130621231659","CUT = PT = CONTINUÍSMO ! CHEGA !","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,NA,NA,"xor all,all","1","http://a0.twimg.com/profile_images/890558660/logo-italiano_normal.jpg","68225067","TWITTER","68225067@TWITTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6461413",NA,NA,"0","0","0","20130620191731",NA,NA,NA,NA,NA,"200"
"21406626","20130621213012","Todo manifesto é valido, é maravilhoso porque podemos reivindicar melhoras em diversos setores, mas esses manifestos legitimo  mas essa badernar já esta passando dos limites   ônibus depredado , patrimônios históricos pichados que isso ......... protesto  não isso e baderna","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"webazvw9jaj2","4264228923912787214","Regpaula","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","4264228923912787214","UOLK","4264228923912787214@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6461413",NA,NA,"0","0","0","20130620191731",NA,NA,NA,NA,NA,"200"
"21406519","20130621212643","gente vamos acorda para com esse sonho ou melhor utopia por que  sujeira na politica existe em qualquer lugar do mundo  vamos volta vida normal e para de da margem aos baderneiros q estão se aproveitando pra roubar e quebrar tudo","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"webazvw9jaj2","4264228923912787214","Regpaula","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","4264228923912787214","UOLK","4264228923912787214@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6461413",NA,NA,"0","0","0","20130620191731",NA,NA,NA,NA,NA,"200"
"21404734","20130621194301","Em 1964 ocorreu um golpe militar que aniquilou o parlamentarismo no Brasil. Entramos em um túnel de 21 anos de ditadura. Quem estava manipulando o golpe eram os EUA. Se ocorrer um golpe agora (que será um grande retrocesso) quem estará manipulando? Cuba? China?... Espero que não cheguemos a isso. Deus nos proteja.","APPROVED","0","TRUE","1","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"8ib7wsjb9so3","1119923959722922083","J&aacute;fuieu","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","1119923959722922083","UOLK","1119923959722922083@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6461413",NA,NA,"0","0","0","20130620191731",NA,NA,NA,NA,NA,"200"
"21403906","20130621185846","Hoje a RUA e os Panfletos estão nas redes sociais. 
Agora as pessoas de bem devem avaliar muito isso de chamar pessoas para as ruas, pois em muitos casos estaram se expondo a gente do mal, gente  que nao liga para Pais nem para nada, e que aproveitam essas ocasiões para extravazarem seus instintos. A
lguns governadores que sucatearam a Policia Civil/investigativa agora percebem o mal que fizeram. Nestes momentos deveria haver Policia  especializada a paizana identificando e detendo vandalos","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"4has4dkq75rf","589736442502386411","rochalo","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","589736442502386411","UOLK","589736442502386411@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6461413",NA,NA,"0","0","0","20130620191731",NA,NA,NA,NA,NA,"200"
"21401941","20130621170648","Bom acho os protestos validos desde que se tenha um objetivo firme ,eu moro em Embu-guaçu meu protesto seria para que fosse usado bilhete unico tb ou seja unificar o meio de transporte,de manha e bom a tarde e bilhete unico ta dificil isso ainda mais agora com protestos que temos que fazer malabarismo pra chegar em casa.
","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,NA,NA,"Silvia Nunes da Silva","1","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash3/161739_100001429112211_7726371_q.jpg","100001429112211","FACEBOOK","100001429112211@FACEBOOK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6461413",NA,NA,"0","0","0","20130620191731",NA,NA,NA,NA,NA,"200"
"21401832","20130621170132","É chegada a hora, então proponho, LAVRAR UM MANIFESTO POPULAR do movimento, com as reivindicações, em ordem de prioridade, decididas pelos manifestantes presentes ou votação pela internet. Isto vai fortalecer, ainda mais, os motivos pelos quais se baseia a luta. O que acham???","APPROVED","0","FALSE","1","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"8qa315ir1xt0","1149057903458088036","ARAUTODAVERDADE","1","http://forum.imguol.com/avatars/gallery/noticias/Jogos PS3 01/ps3123.jpg","1149057903458088036","UOLK","1149057903458088036@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6461413",NA,NA,"0","0","0","20130620191731",NA,NA,NA,NA,NA,"200"
"21399632","20130621153202","Este protesto é coisa ""daselite""","APPROVED","0","FALSE","1","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"ufemgaazqar9","4004978671939404789","ACM INDAIATUBA SP","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","4004978671939404789","UOLK","4004978671939404789@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6461413",NA,NA,"0","0","0","20130620191731",NA,NA,NA,NA,NA,"200"
"21398666","20130621150237","Segundo o The Guardian o número de manifestantes no país foi próximo de 2.500.000!!!!!!!!!!!!!!!","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,"gdke90heq3dw","2155548722199299492","Ale 1","1","http://forum.imguol.com//forum/themes/jogos/images/nopic.gif","2155548722199299492","UOLK","2155548722199299492@UOLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6461413",NA,NA,"0","0","0","20130620191731",NA,NA,NA,NA,NA,"200"
"21398594","20130621150022","Realmente cade o Lula?  ","APPROVED","0","FALSE","0","0","NONE","FALSE","0.0",NA,"FALSE","0","VISIBLE","MESSAGE",NA,NA,NA,"Loislene Iei Valdemi","1","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/275704_100005568490713_1115530770_q.jpg","100005568490713","FACEBOOK","100005568490713@FACEBOOK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6461413",NA,NA,"0","0","0","20130620191731",NA,NA,NA,NA,NA,"200"
